2023-08-31T13:53:21.847Z warp-dns-stats: Queries: 40, Success: 85.0%, TimedOut: 0.0%, NoRecordsFound: 15.0%, Other Error: 0.0%, Avg Duration: 67.95ms
2023-08-31T13:55:21.847Z warp-dns-stats: Queries: 34, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 20.00ms
2023-08-31T13:57:21.848Z warp-dns-stats: Queries: 37, Success: 94.6%, TimedOut: 0.0%, NoRecordsFound: 5.4%, Other Error: 0.0%, Avg Duration: 36.68ms
2023-08-31T13:59:21.849Z warp-dns-stats: Queries: 31, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 34.23ms
2023-08-31T14:01:21.850Z warp-dns-stats: Queries: 46, Success: 89.1%, TimedOut: 0.0%, NoRecordsFound: 10.9%, Other Error: 0.0%, Avg Duration: 96.72ms
2023-08-31T14:03:21.836Z warp-dns-stats: Queries: 33, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 13.42ms
2023-08-31T14:05:21.838Z warp-dns-stats: Queries: 32, Success: 96.9%, TimedOut: 0.0%, NoRecordsFound: 3.1%, Other Error: 0.0%, Avg Duration: 49.84ms
2023-08-31T14:07:21.837Z warp-dns-stats: Queries: 37, Success: 97.3%, TimedOut: 0.0%, NoRecordsFound: 2.7%, Other Error: 0.0%, Avg Duration: 33.16ms
2023-08-31T14:09:21.838Z warp-dns-stats: Queries: 38, Success: 97.4%, TimedOut: 0.0%, NoRecordsFound: 2.6%, Other Error: 0.0%, Avg Duration: 35.08ms
2023-08-31T14:11:21.838Z warp-dns-stats: Queries: 39, Success: 94.9%, TimedOut: 0.0%, NoRecordsFound: 5.1%, Other Error: 0.0%, Avg Duration: 46.08ms
2023-08-31T14:13:21.839Z warp-dns-stats: Queries: 37, Success: 97.3%, TimedOut: 0.0%, NoRecordsFound: 2.7%, Other Error: 0.0%, Avg Duration: 43.86ms
2023-08-31T14:15:21.840Z warp-dns-stats: Queries: 36, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 32.22ms
